,Khoảng giá
2338,9.0
6199,12.0
6056,10.7
1083,20.5
3734,48.0
861,24.5
1891,8.9
903,7.35
2284,8.3
109,68.0
2996,8.68
1961,4.75
5303,18.9
1558,21.0
3089,43.0
2227,4.8
6116,19.0
3910,7.7
6153,7.15
927,23.5
5027,9.95
3194,10.6
4012,11.8
2233,9.2
1501,25.0
2299,39.0
5917,17.0
5444,9.5
1094,5.35
1121,4.029999999999999
2603,6.2
1782,3.97
5151,4.98
809,4.5
1578,6.65
1545,12.7
6093,33.0
5154,39.0
6203,3.99
4412,9.6
4815,8.85
5933,21.0
4556,5.99
4192,53.2
5349,12.7
5322,9.2
3951,12.5
6266,15.9
5364,16.9
2350,6.95
3172,4.7
3340,9.8
4567,5.2
1922,7.0
5409,6.85
5526,115.0
1204,6.99
5907,1.75
2124,23.0
4274,23.9
4216,25.5
1755,65.0
2004,9.9
6264,22.0
518,16.79
829,9.4
1870,14.5
4204,31.0
438,26.0
627,13.9
6075,44.99
3765,19.5
925,6.49
3365,6.5
295,8.6
1052,17.55
4031,34.76
2728,5.65
1173,7.5
4207,7.3
2432,9.99
3055,9.7
944,27.0
5004,74.3
2881,19.5
12,5.95
1117,8.9
4575,9.2
2862,13.0
3349,13.9
642,17.75
4624,13.5
1728,8.0
3049,6.5
4010,2.1
1319,7.55
5538,33.0
4520,40.0
5761,10.5
3396,5.75
3841,8.59
4526,62.0
4305,19.2
4319,39.7
2960,8.0
653,11.5
429,24.0
5968,23.0
4523,32.0
5786,9.9
4441,60.0
3634,23.9
2306,23.5
6052,6.75
838,5.79
1087,16.9
3650,22.0
4578,3.26
1665,14.5
3237,2.65
856,6.5
3285,6.95
2275,8.3
1448,4.2
3076,40.0
2618,15.9
4563,6.0
5251,18.0
3757,115.0
5587,15.0
693,6.5
4734,8.5
2954,8.5
3792,210.0
188,4.89
287,6.35
3783,15.2
2879,4.65
169,49.0
3058,6.58
3209,6.65
3149,14.6
1586,6.78
6101,9.49
1338,8.8
2312,9.5
2617,8.7
5911,11.0
2366,6.3
4648,4.2
3321,14.5
210,49.0
1807,6.78
1672,26.0
5086,11.6
1666,3.5
73,28.0
3779,0.33
2840,25.2
3786,11.5
3858,10.0
1789,6.85
5827,45.0
2921,5.98
5571,7.5
4002,9.5
3671,110.0
5871,35.5
3917,8.99
1231,9.5
6167,23.9
3669,5.65
4296,10.4
1820,22.0
6159,4.95
1379,8.58
3955,17.5
3033,2.98
113,7.45
5340,7.7
1438,10.0
4600,180.0
3550,13.8
1657,9.5
4155,30.5
2114,4.39
507,27.5
3312,6.5
1886,135.0
4864,11.5
4764,15.0
4159,23.5
2063,4.79
4954,15.5
252,7.3
4842,458.0
350,33.0
3078,4.3
2829,23.0
1941,6.9
457,6.75
3545,7.99
479,25.0
1114,10.6
798,6.9
4428,5.0
298,23.0
3203,5.5
26,34.0
3422,3.8
2110,11.9
3176,4.59
3941,4.4
2118,16.0
1287,7.8
1281,12.8
229,6.4
2929,22.0
3240,3.8
4353,38.3
2706,5.45
3977,12.3
5410,9.0
4947,9.5
3429,7.25
3997,5.9
3250,8.2
5186,6.3
4190,14.9
1614,7.5
607,6.95
5822,21.5
4789,45.9
3774,32.0
1859,35.0
3407,22.0
4604,5.05
5096,19.0
6189,27.0
3612,4.7
3989,8.0
203,7.6
339,29.5
4742,27.0
837,7.65
4689,15.5
5971,8.9
387,10.98
1747,8.4
4768,6.3
3248,10.7
2882,8.3
1609,9.5
5342,7.9
4228,6.95
3799,31.0
5165,145.0
2303,8.5
5996,7.29
5497,20.5
2498,19.9
5304,8.1
5416,9.0
3886,23.5
677,14.5
1951,8.8
4652,19.5
2484,6.15
61,23.8
1864,11.2
3780,11.19
4342,10.85
2210,33.5
4812,8.7
790,6.5
4936,19.9
4814,6.4
5706,7.68
6191,35.0
5046,6.6
3547,7.9
1359,13.2
1905,4.6
4610,39.0
6270,6.0
4253,18.5
5859,50.0
733,13.1
5603,10.5
4092,70.0
4770,8.45
1260,14.4
5343,5.5
2177,29.5
2827,8.3
1543,36.0
527,7.88
4803,5.0
5602,60.0
4507,23.0
1468,10.5
3733,65.0
5436,55.0
4148,14.3
1912,6.96
5372,13.9
4103,5.7
2099,5.65
803,9.29
857,25.7
1599,9.9
5425,27.0
5357,8.0
6228,20.0
1423,27.99
4907,4.8
1465,7.1
3560,6.2
219,9.5
2018,10.3
1288,6.49
1115,21.5
582,23.5
3513,13.8
1564,27.0
43,300.0
3483,7.5
4766,45.0
3025,6.95
3877,10.5
1744,8.3
2925,27.8
1918,8.8
2132,12.5
5606,11.9
1452,6.89
3657,4.5
3428,7.5
5510,5.55
1224,6.5
3123,8.1
2202,4.2
1071,7.65
718,7.8
5976,8.5
5040,4.2
1505,7.3
4546,60.0
670,28.0
347,39.9
5082,37.0
6069,7.4
5140,33.8
3217,10.5
897,12.3
1258,18.7
5133,14.9
95,12.0
2463,9.9
3424,5.85
5566,8.0
842,7.3
1595,10.7
5144,7.19
5067,9.5
4326,18.0
6297,23.0
4518,48.0
2439,9.8
3898,69.0
2095,300.0
4852,5.7
322,5.88
1756,6.2
1769,13.9
5966,37.99
4313,7.6
4258,22.5
334,4.5
2955,6.99
332,3.75
833,3.75
2836,20.5
5081,14.5
2525,14.5
3246,7.79
3921,4.5
731,6.2
2083,17.3
291,35.0
184,38.28
4956,3.79
4558,29.5
2213,5.15
533,14.4
1671,17.5
2578,11.89
4787,21.0
3437,59.0
2348,9.4
3520,5.7
657,4.6
1255,8.0
2798,8.5
2794,4.8
2776,8.3
4151,15.2
3276,9.5
898,10.0
6263,6.95
428,107.0
5515,8.39
4656,12.3
4922,12.3
1436,39.5
5701,450.0
1222,9.5
6298,4.2
2029,40.0
4753,5.99
3375,8.3
5503,6.5
4974,82.5
3739,11.3
5402,9.5
5853,18.5
4677,11.9
2313,11.9
2543,3.99
2746,9.5
1096,7.3
4399,22.0
2223,5.45
5688,55.0
3606,35.0
5206,16.8
3006,9.5
1652,115.0
5974,8.2
1230,4.25
1410,10.0
1788,10.0
4552,7.5
3393,140.0
2592,17.8
3856,58.0
3101,6.8
2519,8.95
192,21.0
2465,9.5
1126,9.99
3796,115.0
5044,8.2
3707,9.9
3002,7.95
304,4.55
1817,11.5
4439,18.7
1292,26.0
70,4.8
4032,23.9
1305,26.5
3103,15.5
3320,5.4
5865,19.5
3571,5.2
1340,9.9
831,10.0
3617,11.6
1456,5.0
2170,33.0
4235,25.9
238,7.7
92,31.0
3831,8.14
2157,10.3
5944,20.3
5729,7.0
3501,21.0
6043,6.3
2446,4.95
3813,25.0
1001,10.0
2287,4.73
5880,20.0
4053,65.0
2232,6.35
1504,4.2
957,8.0
4746,6.1
5885,90.0
4987,45.0
1532,2.35
3541,6.8
6146,6.8
5777,3.1
411,18.0
1405,2.9
1934,11.9
2995,9.3
6045,13.7
4760,6.49
1992,33.8
3682,5.0
5922,40.0
1702,5.6
2333,4.18
1034,13.5
5531,4.9
5891,8.6
2877,5.5
2271,9.8
931,11.3
5744,11.9
6276,75.0
4078,11.0
633,7.35
4993,31.8
498,16.2
937,9.3
415,8.25
2611,65.0
5275,300.0
720,5.9
2187,12.5
3442,6.2
757,19.5
2031,100.0
2115,13.0
1041,34.0
5170,73.0
3297,8.2
3454,5.6
5629,16.2
596,11.48
5399,4.6
4908,10.0
4374,14.9
1068,3.85
1942,5.79
1647,20.7
2845,4.6
3382,9.2
2375,18.5
5595,7.9
652,15.0
4996,66.9
1700,12.6
4848,7.4
5048,9.2
5940,8.2
2754,8.9
2948,9.2
2357,26.0
2775,3.88
4941,7.0
2803,7.95
2676,11.2
75,20.99
4407,6.9
3992,7.7
5446,42.0
5307,24.0
5793,8.8
4246,13.0
3680,8.7
3755,64.0
2780,9.5
108,4.38
1010,350.0
1029,15.5
2447,4.9
828,25.0
3023,27.9
4224,17.8
96,2.65
3439,10.0
5270,13.5
4609,39.9
1385,9.5
1200,65.0
2025,8.38
621,9.0
6078,43.0
566,32.5
1837,8.7
1334,9.2
2402,41.0
2619,4.95
4537,8.2
3660,17.0
3905,43.0
745,10.6
195,35.0
4383,85.0
4365,12.95
4160,100.0
802,7.35
3626,30.0
5159,34.0
4857,9.5
644,2.88
5564,8.5
4709,3.15
3518,7.68
4362,4.55
120,4.2
1777,5.95
6292,7.6
5058,7.5
2615,11.0
3593,7.88
134,8.99
3864,29.98
3268,8.95
2480,13.3
62,2.9
5477,12.5
2787,53.0
2691,6.7
679,8.6
4189,9.9
4087,12.0
1211,8.5
2952,15.0
4290,5.95
567,18.6
1873,9.5
5989,21.0
1717,11.5
1392,6.5
4717,6.95
5110,7.5
489,28.5
3210,9.5
690,9.45
5884,35.0
602,9.5
4081,55.0
4531,9.5
4833,32.5
4449,10.5
1187,7.3
274,12.4
4958,12.7
1361,4.18
4687,38.0
1526,4.7
4262,20.5
4847,5.4
3352,25.0
2571,24.5
3317,4.93
5924,22.5
5769,13.0
945,5.35
5981,3.15
6074,29.79
3505,6.9
68,6.5
4602,6.18
4464,10.0
1598,23.8
2650,10.0
5912,1.98
5457,13.3
1503,25.6
2316,6.69
150,12.8
2086,6.3
6132,6.0
2516,9.9
2276,5.15
859,9.55
2941,39.6
3822,9.5
2559,18.3
366,9.6
1432,4.2
4457,13.9
1779,6.9
3590,7.3
2981,7.79
1818,5.4
3929,5.1
841,18.9
1189,44.5
175,38.0
3618,3.7
2093,22.98
6061,6.2
3269,13.9
2972,4.47
1030,7.95
4139,65.0
300,9.5
1472,62.0
283,11.97
3664,11.0
4914,9.2
4989,31.0
1813,12.7
1271,9.3
2181,8.0
3994,6.5
2916,88.0
2008,12.5
5155,37.0
3787,25.5
5737,62.0
5278,33.5
99,5.5
5956,9.5
744,5.68
5828,8.09
480,9.8
4961,6.0
6119,113.0
5419,5.75
1157,18.9
1437,14.5
5020,13.99
402,14.5
949,4.3
2067,11.8
4392,7.35
668,25.9
218,5.38
1962,4.73
5166,7.9
3728,22.0
3258,6.7
4620,42.0
6021,11.5
4157,8.9
2145,26.0
777,3.99
3131,7.45
4932,9.5
3558,8.8
1491,5.6
4478,13.5
2298,26.0
4827,13.0
4703,7.6
5199,14.5
517,16.9
5341,9.5
5861,10.8
4303,320.0
4091,4.6
6029,7.7
568,8.9
360,8.6
5454,4.5
759,35.9
5988,7.75
5921,18.0
4098,108.0
214,7.7
3252,8.7
5428,6.8
2254,4.8
3377,5.2
725,11.5
5396,9.5
49,30.0
4925,10.8
887,8.0
5507,75.0
5676,26.0
516,7.2
3646,7.6
139,5.1
2406,17.3
2716,5.8
2795,8.245
463,5.2
4376,4.74
5965,8.3
594,10.4
450,9.39
3008,26.0
2821,32.0
312,23.0
3010,3.9
3529,27.5
451,17.5
5084,19.5
890,18.9
3182,2.89
4860,18.0
4448,7.9
5893,3.5
999,15.5
389,7.95
1476,25.0
2240,18.0
5668,13.8
5252,7.2
5391,16.0
5361,8.9
4015,8.9
3129,6.8
5509,73.32
1293,6.38
5549,22.9
5608,6.8
1907,25.0
4323,11.5
4358,8.1
368,16.5
1937,9.49
1151,2.3
3887,3.6
3464,34.0
6198,9.9
191,3.5
4245,15.5
5717,10.49
174,5.49
4870,6.9
3950,6.3
4161,188.0
5703,33.0
5480,7.3
6130,7.4
3148,5.85
2850,6.95
1164,8.25
3007,7.8
4942,20.5
4997,4.7
1661,4.5
508,19.9
166,16.9
2589,7.3
4316,5.6
3705,34.0
4233,36.0
103,9.5
5591,50.0
4904,17.0
5163,75.0
1752,5.3
5621,17.0
3026,8.16
1658,17.5
152,6.5
6088,73.0
1583,3.15
3441,4.95
4332,8.4
4615,9.9
4445,25.5
2209,6.45
2957,3.9
3892,50.0
1822,59.0
4851,5.5
3477,4.92
309,2.89
4902,28.0
2722,6.3
5941,4.69
495,18.2
205,12.29
1434,26.5
1135,6.39
868,34.0
305,15.5
1849,22.0
3039,9.5
1988,19.7
3065,19.5
1534,18.5
843,13.49
1987,4.85
6142,11.9
4217,24.8
5839,11.5
6206,9.89
1538,12.8
211,6.18
1957,47.0
4112,5.19
3611,48.6
3024,31.0
1349,5.4
6280,47.0
4810,69.0
680,6.65
180,28.0
5999,6.65
3966,11.9
5460,2.4
278,8.45
289,7.3
6120,14.5
993,16.0
2236,5.45
5269,17.8
4447,4.6
4603,10.5
5045,7.0
270,6.55
2405,6.7
5143,18.5
2515,27.0
4886,7.6
111,8.5
1391,19.5
220,58.056
3740,18.5
83,12.9
3807,20.0
3770,280.0
461,6.85
5533,33.0
551,15.6
2471,21.5
3551,35.5
5669,18.0
5465,6.8
4921,4.15
3085,9.5
2329,17.2
2146,19.0
3206,9.5
2913,20.5
650,10.0
708,4.9
5379,34.0
3130,11.0
5829,9.9
4211,9.1
1424,13.5
1216,9.7
5821,23.0
1924,5.1
3075,17.5
5804,10.7
314,67.0
4231,7.55
1427,4.8
5992,133.0
3583,5.8
3154,4.8
5813,16.5
5213,11.9
3570,29.5
4626,35.0
3652,22.5
6299,6.6
2825,41.5
684,18.0
4605,350.0
2453,12.5
5667,19.5
2542,3.5
326,18.6
5265,20.0
3817,11.5
2900,16.6
5445,11.95
3487,4.8
5060,56.0
2627,5.9
1676,4.25
348,16.5
1626,9.9
3580,5.65
2758,9.99
871,32.0
4104,8.1
6054,13.0
3386,150.0
2218,17.6
5868,20.5
2121,19.5
6166,9.97
85,7.5
3142,34.0
1877,8.3
4966,26.0
5765,12.5
5636,8.5
494,3.7
3306,9.3
3459,6.3
5687,5.6
5077,12.9
1270,15.0
2966,7.2
2944,29.5
5205,11.0
618,6.55
5385,23.5
3337,7.6
4898,8.3
3849,8.6
4129,10.6
3400,6.45
1413,17.5
2201,7.8
3585,23.5
4692,38.0
869,26.0
2358,11.9
2006,21.5
5267,19.0
4352,11.8
356,8.25
1162,5.9
4776,5.8
3413,7.8
6211,7.35
1890,7.35
579,9.2
3336,8.5
2857,8.5
1691,9.0
862,106.0
4254,31.0
3670,3.3
2380,7.5
2378,9.5
4901,20.5
4872,12.68
1116,6.1
1541,7.4
5401,7.5
4839,4.38
6188,29.5
5201,7.75
6070,6.6
2638,4.95
4200,8.5
2500,24.0
5562,19.5
3014,4.3
5579,13.5
6200,6.3
2689,7.5
4733,5.2
6008,290.0
5185,7.9
5420,6.2
5310,17.8
4174,8.39
6041,5.35
2052,9.5
1776,4.98
4025,8.5
4512,9.9
1592,9.0
1723,27.8
4923,5.0
4273,19.0
490,30.0
5295,5.9
1006,4.75
4838,8.8
2503,6.3
6223,11.9
2314,17.5
1417,6.8
25,41.0
2409,37.0
1113,12.9
3395,14.0
1552,21.0
5377,4.8
4698,5.9
433,8.45
3263,3.98
3132,6.5
4260,3.99
3303,7.38
3447,21.0
6175,26.5
4669,7.15
3362,5.8
2518,6.28
6055,7.6
1102,8.6
3470,9.8
4325,5.85
4664,6.79
4367,8.6
194,17.9
615,3.7
643,35.0
4519,150.0
6172,7.0
5324,8.7
330,7.5
3918,6.78
4943,3.95
3463,8.5
3668,21.5
483,12.8
2420,18.9
719,23.5
2763,8.98
2059,3.4
2566,4.7
4198,18.5
32,26.9
664,8.0
4950,16.5
3866,5.0
1444,5.0
2688,7.88
2670,25.0
6143,5.99
1705,50.0
2678,21.5
6250,60.0
4004,2.35
3932,9.9
2277,8.8
1401,19.0
3710,15.0
2456,7.9
170,4.3
540,12.99
5767,4.8
4712,7.35
2753,5.0
3034,14.2
674,8.2
5790,18.6
5312,8.8
1815,15.9
2859,7.3
2100,62.0
5167,44.0
5306,8.4
2101,55.0
5678,37.9
3127,3.5
1548,11.5
3309,8.65
2668,3.8
355,6.85
3494,12.0
3418,3.9
3758,11.5
2535,23.9
5574,8.0
4482,25.0
2373,4.86
1051,11.9
2321,4.2
3940,2.63
4013,60.0
1751,8.2
2759,18.5
1772,32.0
1196,5.65
1878,4.68
2016,7.5
2005,52.0
5108,8.75
1482,10.5
328,7.8
648,5.95
4801,9.0
1123,8.8
3098,4.05
4118,22.0
2755,5.39
3169,4.5
5439,40.0
5273,23.9
1259,25.0
4545,15.4
3784,5.85
3011,5.6
1519,8.6
1378,6.88
4591,22.5
1023,12.5
3167,4.5
3204,5.5
6186,5.7
5218,105.0
912,16.0
4271,31.0
1675,4.2
1746,18.6
5071,10.5
1736,6.3
1629,150.0
4147,30.0
430,1.98
1808,9.2
3912,8.2
2673,5.39
6295,48.0
3861,147.0
3832,8.4
2222,38.0
3608,7.3
3589,8.55
5617,7.0
4041,11.99
5524,10.99
5590,11.5
3691,115.0
1995,8.7
2671,6.35
5866,11.9
2224,15.4
1106,4.38
6296,19.8
818,10.6
3288,6.8
4288,23.5
4568,7.3
1697,18.5
2843,3.1
136,5.68
5381,23.5
5043,4.3
3256,5.5
5582,8.5
1180,9.0
3808,15.5
888,9.5
3018,9.9
2437,9.9
2860,8.95
3226,5.8
817,12.3
1111,10.8
3785,17.5
2341,12.7
4639,13.9
4127,14.5
1264,10.0
990,9.4
3592,6.79
1739,48.0
3372,7.0
353,7.85
4794,4.69
4691,8.7
4855,10.5
1489,4.8
4210,19.9
1228,3.15
5936,84.0
5190,210.0
5964,6.55
5894,20.0
52,34.0
3907,7.3
4220,22.8
159,6.6
3688,9.2
4050,7.2
1589,22.0
1479,3.72
1469,19.8
3414,62.9
3100,6.3
5296,15.2
2078,5.6
3826,21.8
6207,5.8
2905,8.85
436,16.0
3214,6.5
4187,10.5
1588,11.5
4630,69.0
1590,7.88
5490,8.0
973,10.0
1238,6.09
2342,39.6
4608,18.0
3458,7.4
3978,8.5
5374,86.0
2231,6.9
4172,21.99
1497,11.7
449,7.7
2369,5.8
3732,8.0
2422,5.79
5653,8.9
3334,5.4
1551,8.5
5584,6.0
1146,4.2
4119,9.5
2092,22.8
1313,6.85
2015,24.8
3628,18.9
3045,8.7
3350,38.0
1381,13.8
3605,3.6
413,26.5
941,8.8
801,24.9
2750,8.69
2801,8.4
3658,9.0
256,23.0
6181,7.6
2235,6.59
647,10.2
1767,24.0
4309,7.6
2789,8.5
3323,27.5
3914,8.6
24,154.0
1088,5.5
3163,10.0
2694,7.85
2943,7.6
112,8.9
2311,4.19
3090,5.4
56,15.5
1309,16.99
695,17.9
4576,150.0
1227,11.9
1999,15.5
276,6.5
4490,145.0
4867,6.78
1833,18.0
682,13.2
3491,35.0
5517,5.3
3193,21.0
1137,6.38
2767,30.0
4205,31.0
3949,9.45
3353,5.3
3795,19.0
5725,200.0
1346,7.8
2855,5.85
3286,4.9
2784,15.0
3125,7.5
2384,16.8
115,600.0
4381,4.85
6267,8.6
3613,18.5
2917,8.45
5612,11.5
2819,20.5
2874,7.35
5130,14.4
5239,56.0
5843,43.0
81,25.0
1972,10.2
1714,18.0
3970,6.5
4730,7.45
3114,13.3
4299,13.5
1946,8.6
3684,22.24
3295,11.5
4409,6.2
1610,8.0
5797,41.8
3220,8.2
4240,6.5
6155,6.9
5634,5.9
5824,15.5
665,7.5
2194,5.6
5888,52.0
5354,8.3
1017,8.68
557,18.5
4141,90.0
5718,7.5
1207,19.5
3196,11.0
6076,70.0
1510,10.9
3621,5.8
4088,25.0
4283,45.0
5623,6.05
266,21.0
6044,19.3
3715,10.2
2111,13.5
3773,65.0
1909,5.2
3455,2.98
5368,7.0
656,9.4
5266,6.12
4443,10.5
3960,7.55
998,10.0
3573,8.0
2834,6.55
2809,23.0
1784,23.0
1237,14.0
5242,64.0
5394,60.0
5047,8.5
5424,3.7
6216,6.8
2186,4.2
5458,10.5
908,9.2
5918,61.0
1303,5.69
5878,12.0
1627,8.89
1522,5.5
835,17.0
358,9.5
138,160.0
299,160.0
1556,23.5
1003,54.0
382,4.75
3116,8.8
761,5.75
4001,13.5
5091,13.0
6079,13.5
5090,35.0
4811,9.7
1402,6.25
3235,3.35
5403,8.5
2721,5.8
1932,12.5
4601,6.25
5214,17.9
5012,8.9
5417,5.95
3151,3.65
4650,8.2
2685,6.4
3074,7.5
58,3.8
76,29.0
796,43.0
2416,85.0
3326,16.7
4597,7.8
785,5.19
5441,10.5
6135,7.0
5561,5.8
2217,6.18
3106,29.8
4168,8.5
4513,5.39
3063,5.65
3718,8.15
4863,18.9
910,13.3
2172,6.5
3903,7.7
2309,22.5
5896,9.5
1257,135.0
2495,4.55
4739,6.7
5505,20.5
1178,8.0
4732,7.5
5146,23.0
442,10.8
1399,12.5
4619,7.2
3381,9.45
4086,5.0
6004,83.0
1054,40.0
5682,5.6
4819,6.9
3388,6.1
1415,4.79
2372,6.2
4628,9.9
3313,5.85
4467,29.0
3105,11.4
6031,6.89
5075,11.4
1502,18.9
5766,19.6
4166,15.8
2011,6.65
4765,14.5
4818,15.8
3185,7.2
5076,10.8
4750,32.0
6165,6.2
6,9.9
2980,10.0
2487,27.8
678,6.16
1943,4.5
4540,10.0
5796,24.0
5874,15.5
4991,22.9
4128,15.0
2607,110.0
3948,22.5
5792,10.3
1064,7.0
2894,6.3
6272,40.0
2242,5.3
1474,10.2
5158,37.0
1889,15.5
3830,29.0
2021,18.5
4949,3.1
4479,11.0
2658,32.5
2467,16.5
4762,19.0
1130,21.5
1461,2.15
3504,5.3
5702,7.6
3674,6.95
3620,136.0
2968,8.7
222,6.3
5838,142.0
48,42.5
573,4.86
1236,13.9
4783,3.5
6104,9.89
5656,7.2
2282,20.0
4256,6.5
267,17.3
1104,36.8
2305,4.39
5543,8.9
1935,6.3
386,6.6
1701,7.1
1628,26.0
3555,8.0
2714,10.15
5923,8.5
5506,46.0
1563,85.0
2760,9.99
3968,12.8
209,11.9
909,12.9
1289,5.65
4747,14.9
1866,12.7
1842,24.0
2497,6.3
5153,2.99
4034,9.5
958,10.0
1793,14.2
2088,12.3
2702,4.85
331,4.85
5118,17.5
4554,7.0
3332,48.0
2459,10.0
1774,2.4
4417,6.6
3731,17.5
4105,5.5
4876,7.15
5111,7.95
5689,16.5
4301,5.79
2897,7.9
3133,8.2
1710,12.9
5041,8.25
2478,7.6
4476,100.0
1366,10.0
173,7.68
858,5.68
5382,53.0
3227,45.0
5487,10.8
3789,5.6
1952,12.99
3559,7.9
3720,20.5
2036,50.0
4930,16.5
6046,6.5
5783,9.29
18,5.75
0,16.9
2174,7.29
1356,12.1
4679,12.8
3534,6.29
2826,6.3
5321,10.0
396,16.8
4725,13.0
3708,11.0
4975,29.0
1812,7.0
4477,88.0
4559,6.0
816,13.3
1572,7.86
4355,19.5
1800,7.68
2280,4.3
2429,7.4
4977,32.5
4201,22.49
5950,20.0
3648,6.8
5431,8.8
4173,61.0
3829,16.8
5291,16.95
5219,36.0
4398,32.8
4508,7.99
554,21.0
1159,5.39
1213,12.9
3482,5.35
1325,5.9
3651,13.0
4095,6.7
700,10.6
2700,55.0
4503,11.75
1847,9.5
4617,9.55
2796,9.5
1455,9.5
5271,8.5
3289,8.24
3189,17.5
866,20.8
5198,22.78
1644,66.0
2140,22.0
5816,12.5
3821,24.0
1490,8.7
5695,15.0
729,42.0
4607,72.0
3882,66.8
2620,6.95
1936,10.0
3497,28.8
1110,8.8
5114,8.45
5627,6.2
2998,7.6
2394,19.6
1185,110.0
2007,22.0
193,13.0
1515,5.44
5157,29.0
578,11.0
2123,13.0
1429,6.6
771,6.99
5755,6.7
2395,16.5
6237,460.0
1846,18.5
131,6.35
178,19.0
5622,7.9
1811,24.0
4287,8.66
2580,13.5
4019,8.0
3722,15.5
2652,65.0
5203,8.8
2073,6.48
658,6.2
1896,22.0
4622,43.0
2606,7.2
2221,5.45
5960,22.7
2379,26.0
1447,9.45
342,16.8
3996,3.6
5547,11.3
2527,10.9
727,6.79
4952,12.5
976,12.8
4861,11.5
4366,23.5
1928,5.1
4101,6.9
6136,9.7
6047,4.6
1299,7.0
4378,5.98
5784,9.79
660,28.0
1790,17.5
3759,4.0
4222,6.55
493,18.0
5078,6.45
4419,27.0
3460,4.69
5849,8.5
5798,10.5
5333,6.9
1085,8.6
5943,232.0
3409,5.0
694,21.8
1278,8.3
3198,9.9
4436,25.0
1621,25.0
2561,15.9
4393,15.5
4791,139.0
67,5.5
4994,170.0
4017,6.0
2269,8.2
6168,99.0
5900,6.9
4955,35.0
820,5.15
1226,7.85
1677,5.3
5263,7.1
2867,7.6
4586,6.35
2367,5.7
3383,7.6
5641,120.0
2512,22.0
4881,8.0
2723,238.0
5610,7.49
5544,5.5
4647,52.0
1143,11.69
397,11.5
5803,13.5
5102,8.0
786,5.79
5395,5.35
6001,34.0
1398,28.0
1659,8.5
4562,9.6
3134,7.3
2220,5.6
979,17.5
2331,8.2
1298,27.0
3578,8.7
5421,3.95
4676,6.3
82,3.9
5176,49.34
3862,89.0
4918,5.5
4214,27.0
4951,7.0
4979,35.0
2903,14.7
423,9.2
6288,4.78
1904,7.5
5711,5.99
1530,29.8
4879,15.0
1565,7.0
4649,9.2
2749,24.0
839,7.5
500,8.75
4306,24.7
141,6.9
5200,8.6
2605,11.2
3889,10.0
1377,8.8
4888,5.85
6176,11.0
2266,13.9
4633,9.0
1138,7.15
2257,180.0
5493,6.0
3995,9.4
1787,95.0
4030,25.0
550,26.5
459,4.05
2019,9.9
948,31.23
3574,6.4
